benchmark,,l2-tlb-mpki,private,,mmu-pw-total,private,,mmu-pwc-miss-level3-ratio,private,,mmu-pw-level3-remote-ratio-total,private,,mmu-pw-level3-remote-ratio-remote,private,,mmu-active-walkers,private,,mmu-mem-reqs-per-pw,private
atax,,,4929.284643094881,,,14787849,,,0.12367058927907637,,,0.005234070858049796,,,0.5527418150524571,,,63.99659968567,,,1.1285693409501274
bfs,,,0.18488577409440093,,,149,,,0.24161073825503354,,,0.25333333333333335,,,0.44881889763779526,,,0.03351938636,,,1.5100671140939597
bicg,,,4921.510307170102,,,14764526,,,0.12748319858016433,,,0.0037124941607675445,,,0.5160675335919679,,,63.993520572849995,,,1.130913379813209
blackscholes,,,1.4648661017417908,,,786444,,,0.01302444929327451,,,0.010359228686090901,,,0.013802316715934779,,,3.11670148731,,,1.0132622284612762
color,,,1.5627861022949219,,,131096,,,0.014714407762250525,,,0.010736207842164973,,,0.9875604699378023,,,3.1598308990799997,,,1.015294135595289
convolution2d,,,0.8824400088244001,,,88244,,,0.009541725216445363,,,0.006854232572749097,,,0.011368499395292586,,,20.317560619490003,,,1.0101763292688455
correlation,,,2.4037200240372005,,,240372,,,0.027028938478691367,,,0.014856036581167503,,,0.029401155846966502,,,4.83362087297,,,1.0271703859018522
covariance,,,4.807700048077001,,,480770,,,0.032626827797075486,,,0.023613547429496694,,,0.03155401859601437,,,8.20733101073,,,1.032795307527508
doitgen,,,25.50238013498096,,,1728149,,,9.894980120350727e-05,,,0.00011744857719437913,,,0.0001540946672617909,,,2.41211829452,,,1.0001545005667913
fastwalshtransform,,,2.2723500227235003,,,227235,,,0.012546482716130902,,,0.008731765380505139,,,0.7639680729760547,,,23.57935839077,,,1.0130217616124277
fdtd2d,,,2.2020200220202,,,220202,,,0.05022206882771274,,,0.047014680199885875,,,0.0660624908887701,,,22.59218274913,,,1.050544500049954
fft,,,0.48065000048065004,,,480650,,,0.00781025694372206,,,0.006338702619694356,,,0.98272,,,4.0993731786500005,,,1.0079766982211589
fir,,,0.31894300031894296,,,318943,,,0.007051416710822989,,,0.006887515328067325,,,0.38122308354866496,,,3.7305122029400004,,,1.0074088473488994
floydwarshall,,,3.6526000365260005,,,365260,,,0.03246454580298963,,,0.02097968835327738,,,0.030825919636040696,,,19.89401370268,,,1.032749274489405
gemm,,,20.466500204665003,,,2046650,,,0.0032233161507829733,,,0.0030945367837856793,,,0.009100948337723389,,,49.58763150677,,,1.003247257713825
gemver,,,1.2557400125574,,,125574,,,0.05377705575995029,,,0.02348105951859295,,,0.05491069062384057,,,20.30701419167,,,1.054055775877172
gesummv,,,5843.847281282427,,,17531536,,,0.1481008281305186,,,0.09101991138635517,,,0.9390167398050276,,,63.99256027126,,,1.157529094997723
gramschmidt,,,2424.5218081739363,,,7273563,,,0.11087660889168072,,,0.08011453255168158,,,0.9814038716232152,,,54.6042839182,,,1.11396574141174
gups,,,1027.1260090420028,,,3081377,,,0.9197478919327301,,,0.36237591233573585,,,0.48281640250553387,,,63.98935128402,,,1.9301464897024934
im2col,,,0.6198422126913963,,,493816,,,0.035205420642506535,,,0.02687891797127423,,,0.040078246896905055,,,12.20539669841,,,1.0372750174153935
kmeans,,,445.44813445448136,,,44544813,,,0.21004122298145012,,,0.10992803666051812,,,0.6206622354694985,,,63.99873005044,,,1.2114418125405533
lu,,,1.5632300156323002,,,156323,,,0.013715192262175102,,,0.007204274620387719,,,0.014115145971868588,,,13.11327349495,,,1.0140350428279907
matrixmultiplication,,,11.180500111805001,,,1118050,,,0.00201690443182323,,,0.0009249801789961644,,,0.002407885592895343,,,58.18353834495,,,1.0017655739904299
matrixtranspose,,,208.50282085028206,,,2085028,,,0.5936706845183853,,,0.23675370265020015,,,0.9355243345810185,,,63.9744076204,,,1.6060287919394847
mis,,,12.7404501274045,,,1274045,,,0.5991162007621396,,,0.27027436552730527,,,0.494143492377188,,,57.03181289898,,,1.6265296751684595
mm2,,,15.699900156999,,,1569990,,,0.00014267606800044685,,,4.9680136352866544e-05,,,0.00015693975525446374,,,29.785638012090004,,,1.0000343951235358
mm3,,,26.6343702663437,,,2663437,,,0.03723835029700351,,,0.0013636641130927289,,,0.0022879106799670542,,,58.85471426837,,,1.0393626731174794
mvt,,,2277.161425720475,,,6831482,,,0.15610595182714382,,,0.005189294862251419,,,0.6032208903607749,,,63.994134650090004,,,1.1611941596274424
nbody,,,0.001613000001613,,,1613,,,0.04401735895846248,,,0.06093394077448747,,,0.08294573643410853,,,0.14324842440000002,,,1.0886546807191568
nw,,,21.55420910475145,,,15383208,,,0.3449361147557779,,,0.2070206000091922,,,0.24672476798251752,,,7.183518482079999,,,1.3535525879907493
pagerank,,,97.65583934918766,,,4321408,,,0.2729427538431919,,,0.16166436996727906,,,0.9212818324203826,,,59.181678500640004,,,1.2730510518793874
simpleconvolution,,,0.40503000405030004,,,40503,,,0.011159667185146827,,,0.008065302144249513,,,0.6377649325626205,,,5.1839313459900005,,,1.0132582771646546
shoc-reduction,,,6.269103023511358,,,1104894,,,0.03432636976940773,,,0.025946518169211858,,,0.03475732456381943,,,2.41367937854,,,1.0344929015815092
sssp,,,4.462200446220045,,,44622,,,0.011989601541840367,,,0.008895099931234888,,,0.10057687484324053,,,55.12166289917,,,1.010286405808794
stencil2d,,,72.43970072439701,,,7243970,,,0.8834734268639987,,,0.3620329964636466,,,0.997472893001887,,,63.99373709278001,,,1.8888453430922547
syrk,,,1778.097926032642,,,5334292,,,0.1803965737158746,,,0.09481912683223168,,,0.740546827404139,,,63.880487855460004,,,1.1896133544995287
syr2k,,,1663.3002211000737,,,4989899,,,0.10278264149234284,,,0.08093506865573165,,,0.7095489832937982,,,63.83132498224,,,1.1080310443157266
